month,day,holiday
Oct,31,Halloween
Jul,14,Bastille Day
Jan,18,"Martin Luther King, Jr. Day"
Dec,25,Christmas
Mar,17,St. Patrick's Day
Feb,15,President's Day
Jan,1,New Year's Day
Jul,4,Independence Day
Feb,14,Valentine's Day
