airport code,time zone
DYG,China Standard Time
DYL,Eastern Standard Time
DYM,E. Australia Standard Time
DYR,Russia Time Zone 11
DYS,Central Standard Time
DYU,West Asia Standard Time
DYW,AUS Central Standard Time
DZA,E. Africa Standard Time
DZH,China Standard Time
DZI,SA Pacific Standard Time
DZN,Central Asia Standard Time
DZO,Montevideo Standard Time
DZU,China Standard Time
EAA,Alaskan Standard Time
EAB,Arab Standard Time
EAE,Central Pacific Standard Time
EAL,UTC+12
EAM,Arab Standard Time
EAN,Mountain Standard Time
EAR,Central Standard Time
EAS,Romance Standard Time
EAT,Pacific Standard Time
EAU,Central Standard Time
EBA,W. Europe Standard Time
EBB,E. Africa Standard Time
EBD,Sudan Standard Time
EBG,SA Pacific Standard Time
EBH,W. Central Africa Standard Time
EBJ,Romance Standard Time
EBL,Arabic Standard Time
EBM,W. Central Africa Standard Time
EBN,UTC+12
EBO,UTC+12
EBS,Central Standard Time
EBU,Romance Standard Time
EBW,W. Central Africa Standard Time
ECA,Eastern Standard Time
ECG,Eastern Standard Time
ECH,AUS Eastern Standard Time
ECI,Central America Standard Time
ECN,GTB Standard Time
ECO,SA Pacific Standard Time
ECP,Central Standard Time
ECR,SA Pacific Standard Time
ECS,Mountain Standard Time
ECV,Romance Standard Time
EDA,Alaskan Standard Time
EDB,Sudan Standard Time
EDD,AUS Central Standard Time
EDE,Eastern Standard Time
EDF,Alaskan Standard Time
EDI,GMT Standard Time
EDK,Central Standard Time
EDL,E. Africa Standard Time
EDM,Romance Standard Time
EDN,Vladivostok Standard Time
EDO,Turkey Standard Time
EDQ,Central America Standard Time
EDR,E. Australia Standard Time
EDW,Pacific Standard Time
EEA,E. South America Standard Time
EED,Pacific Standard Time
EEK,Alaskan Standard Time
EEN,Eastern Standard Time
EES,Egypt Standard Time
EFD,Central Standard Time
EFG,West Pacific Standard Time
EFK,Eastern Standard Time
EFL,GTB Standard Time
EFW,Central Standard Time
EGA,West Pacific Standard Time
EGC,Romance Standard Time
EGE,Mountain Standard Time
EGH,Egypt Standard Time
EGI,Central Standard Time
EGL,E. Africa Standard Time
EGM,Central Pacific Standard Time
EGN,Sudan Standard Time
EGO,Russian Standard Time
EGP,Central Standard Time
EGS,Greenwich Standard Time
EGV,Central Standard Time
EGX,Alaskan Standard Time
EHL,Argentina Standard Time
EHM,Alaskan Standard Time
EHT,Eastern Standard Time
EIB,W. Europe Standard Time
EIE,North Asia Standard Time
EIH,E. Australia Standard Time
EIK,Russian Standard Time
EIL,Alaskan Standard Time
EIN,W. Europe Standard Time
EIS,SA Western Standard Time
EIY,Jordan Standard Time
EJA,SA Pacific Standard Time
EJH,Arab Standard Time
EJN,China Standard Time
EJT,UTC+12
EKA,Pacific Standard Time
EKB,Central Asia Standard Time
EKD,AUS Central Standard Time
EKI,US Eastern Standard Time
EKN,Eastern Standard Time
EKO,Pacific Standard Time
EKS,Sakhalin Standard Time
EKT,W. Europe Standard Time
EKX,Eastern Standard Time
ELA,Central Standard Time
ELB,SA Pacific Standard Time
ELC,AUS Central Standard Time
ELD,Central Standard Time
ELE,SA Pacific Standard Time
ELF,Sudan Standard Time
ELG,W. Central Africa Standard Time
ELH,Eastern Standard Time
ELI,Alaskan Standard Time
ELJ,SA Pacific Standard Time
ELK,Central Standard Time
ELL,South Africa Standard Time
ELM,Eastern Standard Time
ELN,Pacific Standard Time
ELO,Argentina Standard Time
ELP,Mountain Standard Time
ELQ,Arab Standard Time
ELR,Tokyo Standard Time
ELS,South Africa Standard Time
ELT,Egypt Standard Time
ELU,W. Central Africa Standard Time
ELV,Alaskan Standard Time
ELW,Alaskan Standard Time
ELX,Venezuela Standard Time
ELY,Pacific Standard Time
ELZ,Eastern Standard Time
EMA,GMT Standard Time
EMD,E. Australia Standard Time
EME,W. Europe Standard Time
EMG,South Africa Standard Time
EMI,West Pacific Standard Time
EMK,Alaskan Standard Time
EML,W. Europe Standard Time
EMM,Mountain Standard Time
EMN,Greenwich Standard Time
EMO,West Pacific Standard Time
EMP,Central Standard Time
EMR,Central America Standard Time
EMS,West Pacific Standard Time
EMT,Pacific Standard Time
EMX,Argentina Standard Time
EMY,Egypt Standard Time
ENA,Alaskan Standard Time
ENB,W. Australia Standard Time
ENC,Romance Standard Time
END,Central Standard Time
ENE,Singapore Standard Time
ENF,FLE Standard Time
ENH,China Standard Time
ENI,Singapore Standard Time
ENJ,Central America Standard Time
ENK,GMT Standard Time
ENL,Central Standard Time
ENN,Alaskan Standard Time
ENO,Paraguay Standard Time
ENS,W. Europe Standard Time
ENT,UTC+12
ENU,W. Central Africa Standard Time
ENV,Mountain Standard Time
ENW,Central Standard Time
ENY,China Standard Time
EOH,SA Pacific Standard Time
EOI,GMT Standard Time
EOK,Central Standard Time
EOR,Venezuela Standard Time
EOZ,Venezuela Standard Time
EPA,Argentina Standard Time
EPG,Central Standard Time
EPH,Pacific Standard Time
EPL,Romance Standard Time
EPR,W. Australia Standard Time
EPT,West Pacific Standard Time
EPU,FLE Standard Time
EQS,Argentina Standard Time
ERA,E. Africa Standard Time
ERB,Cen. Australia Standard Time
ERC,Turkey Standard Time
ERE,West Pacific Standard Time
ERF,W. Europe Standard Time
ERG,North Asia East Standard Time
ERH,Morocco Standard Time
ERI,Eastern Standard Time
ERL,China Standard Time
ERM,E. South America Standard Time
ERN,SA Pacific Standard Time
ERQ,E. Australia Standard Time
ERR,Eastern Standard Time
ERS,Namibia Standard Time
ERT,Ulaanbaatar Standard Time
ERU,West Pacific Standard Time
ERV,Central Standard Time
ERZ,Turkey Standard Time
ESA,West Pacific Standard Time
ESB,Turkey Standard Time
ESC,Eastern Standard Time
ESD,Pacific Standard Time
ESE,Pacific Standard Time (Mexico)
ESF,Central Standard Time
ESG,Paraguay Standard Time
ESH,GMT Standard Time
ESI,E. South America Standard Time
ESK,Turkey Standard Time
ESL,Russian Standard Time
ESM,SA Pacific Standard Time
ESN,Eastern Standard Time
ESO,Mountain Standard Time
ESP,Eastern Standard Time
ESR,Pacific SA Standard Time
ESS,W. Europe Standard Time
EST,Central Standard Time
ESU,Morocco Standard Time
ESW,Pacific Standard Time
ETB,Central Standard Time
ETD,Cen. Australia Standard Time
ETE,E. Africa Standard Time
ETL,Vladivostok Standard Time
ETM,Jordan Standard Time
ETN,Central Standard Time
ETR,SA Pacific Standard Time
ETS,Central Standard Time
ETZ,Romance Standard Time
EUA,Tonga Standard Time
EUC,Aus Central W. Standard Time
EUE,Pacific Standard Time
EUF,Central Standard Time
EUG,Pacific Standard Time
EUM,W. Europe Standard Time
EUN,Morocco Standard Time
EUO,SA Pacific Standard Time
EUQ,Singapore Standard Time
EUX,SA Western Standard Time
EVD,AUS Central Standard Time
EVE,W. Europe Standard Time
EVG,W. Europe Standard Time
EVH,AUS Eastern Standard Time
EVM,Central Standard Time
EVN,Caucasus Standard Time
EVV,Central Standard Time
EVW,Mountain Standard Time
EVX,Romance Standard Time
EWB,Eastern Standard Time
EWE,Tokyo Standard Time
EWI,Tokyo Standard Time
EWK,Central Standard Time
EWN,Eastern Standard Time
EWO,W. Central Africa Standard Time
EWR,Eastern Standard Time
EXI,Alaskan Standard Time
EXM,W. Australia Standard Time
EXT,GMT Standard Time
EYK,Ekaterinburg Standard Time
EYL,Greenwich Standard Time
EYP,SA Pacific Standard Time
EYR,Pacific Standard Time
EYS,E. Africa Standard Time
EYW,Eastern Standard Time
EZE,Argentina Standard Time
EZS,Turkey Standard Time
EZV,Ekaterinburg Standard Time
FAA,Greenwich Standard Time
FAB,GMT Standard Time
FAC,Hawaiian Standard Time
FAE,GMT Standard Time
FAF,Eastern Standard Time
FAG,Greenwich Standard Time
FAH,Afghanistan Standard Time
FAI,Alaskan Standard Time
FAK,Alaskan Standard Time
FAM,Central Standard Time
FAN,W. Europe Standard Time
FAO,GMT Standard Time
FAQ,West Pacific Standard Time
FAR,Central Standard Time
FAS,Greenwich Standard Time
FAT,Pacific Standard Time
FAU,Arabian Standard Time
FAV,Hawaiian Standard Time
FAY,Eastern Standard Time
FAZ,Iran Standard Time
FBA,SA Western Standard Time
FBD,Afghanistan Standard Time
FBE,E. South America Standard Time
FBG,Eastern Standard Time
FBK,Alaskan Standard Time
FBL,Central Standard Time
FBM,South Africa Standard Time
FBR,Mountain Standard Time
FBS,Pacific Standard Time
FBY,Central Standard Time
FCA,Mountain Standard Time
FCB,South Africa Standard Time
FCH,Pacific Standard Time
FCM,Central Standard Time
FCN,W. Europe Standard Time
FCO,W. Europe Standard Time
FCS,Mountain Standard Time
FCY,Central Standard Time
FDA,SA Pacific Standard Time
FDE,W. Europe Standard Time
FDF,SA Western Standard Time
FDH,W. Europe Standard Time
FDK,Eastern Standard Time
FDR,Central Standard Time
FDU,W. Central Africa Standard Time
FDY,Eastern Standard Time
FEA,GMT Standard Time
FEB,Nepal Standard Time
FEC,Bahia Standard Time
FEG,West Asia Standard Time
FEJ,SA Pacific Standard Time
FEN,UTC-02
FEP,Central Standard Time
FET,Central Standard Time
FEZ,Morocco Standard Time
FFA,Eastern Standard Time
FFD,GMT Standard Time
FFL,Central Standard Time
FFM,Central Standard Time
FFO,Eastern Standard Time
FFT,Eastern Standard Time
FFU,Pacific SA Standard Time
FGD,Greenwich Standard Time
FGU,Hawaiian Standard Time
FHU,US Mountain Standard Time
FHZ,Hawaiian Standard Time
FID,Eastern Standard Time
FIE,GMT Standard Time
FIG,Greenwich Standard Time
FIH,W. Central Africa Standard Time
FIK,AUS Central Standard Time
FIL,Mountain Standard Time
FIN,West Pacific Standard Time
FIZ,W. Australia Standard Time
FJR,Arabian Standard Time
FKB,W. Europe Standard Time
FKI,South Africa Standard Time
FKJ,Tokyo Standard Time
FKL,Eastern Standard Time
FKN,Eastern Standard Time
FKQ,Tokyo Standard Time
FKS,Tokyo Standard Time
FLA,SA Pacific Standard Time
FLB,SA Eastern Standard Time
FLD,Central Standard Time
FLF,W. Europe Standard Time
FLG,US Mountain Standard Time
FLH,GMT Standard Time
FLI,Greenwich Standard Time
FLL,Eastern Standard Time
FLM,Paraguay Standard Time
FLN,E. South America Standard Time
FLO,Eastern Standard Time
FLP,Central Standard Time
FLR,W. Europe Standard Time
FLS,Tasmania Standard Time
FLT,Alaskan Standard Time
FLV,Central Standard Time
FLW,Azores Standard Time
FLX,Pacific Standard Time
FLY,AUS Eastern Standard Time
FLZ,SE Asia Standard Time
FMA,Argentina Standard Time
FME,Eastern Standard Time
FMG,Central America Standard Time
FMH,Eastern Standard Time
FMI,South Africa Standard Time
FMM,W. Europe Standard Time
FMN,Mountain Standard Time
FMO,W. Europe Standard Time
FMS,Central Standard Time
FMU,Pacific Standard Time
FMY,Eastern Standard Time
FNA,Greenwich Standard Time
FNB,W. Europe Standard Time
FNC,GMT Standard Time
FND,West Asia Standard Time
FNE,West Pacific Standard Time
FNG,Greenwich Standard Time
FNH,E. Africa Standard Time
FNI,Romance Standard Time
FNJ,North Korea Standard Time
FNL,Mountain Standard Time
FNR,Alaskan Standard Time
FNT,Eastern Standard Time
FNU,W. Europe Standard Time
FOA,GMT Standard Time
FOB,Pacific Standard Time
FOC,China Standard Time
FOD,Central Standard Time
FOE,Central Standard Time
FOG,W. Europe Standard Time
FOK,Eastern Standard Time
FOM,W. Central Africa Standard Time
FON,Central America Standard Time
FOO,Tokyo Standard Time
FOR,SA Eastern Standard Time
FOS,W. Australia Standard Time
FOT,AUS Eastern Standard Time
FOU,W. Central Africa Standard Time
FOY,Greenwich Standard Time
FPO,Eastern Standard Time
FPR,Eastern Standard Time
FPY,Eastern Standard Time
FRA,W. Europe Standard Time
FRB,AUS Eastern Standard Time
FRC,E. South America Standard Time
FRD,Pacific Standard Time
FRE,Central Pacific Standard Time
FRG,Eastern Standard Time
FRH,US Eastern Standard Time
FRI,Central Standard Time
FRK,Mauritius Standard Time
FRL,W. Europe Standard Time
FRM,Central Standard Time
FRN,Alaskan Standard Time
FRO,W. Europe Standard Time
FRQ,West Pacific Standard Time
FRR,Eastern Standard Time
FRS,Central America Standard Time
FRT,Pacific SA Standard Time
FRU,Central Asia Standard Time
FRW,South Africa Standard Time
FRY,Eastern Standard Time
FRZ,W. Europe Standard Time
FSC,Romance Standard Time
FSD,Central Standard Time
FSI,Central Standard Time
FSK,Central Standard Time
FSL,W. Australia Standard Time
FSM,Central Standard Time
FSP,Saint Pierre Standard Time
FST,Central Standard Time
FSU,Mountain Standard Time
FSZ,Tokyo Standard Time
FTA,Central Pacific Standard Time
FTE,Argentina Standard Time
FTI,UTC-11
FTK,Eastern Standard Time
FTU,E. Africa Standard Time
FTW,Central Standard Time
FTX,W. Central Africa Standard Time
FTY,Eastern Standard Time
FUB,West Pacific Standard Time
FUE,GMT Standard Time
FUG,China Standard Time
FUJ,Tokyo Standard Time
FUK,Tokyo Standard Time
FUL,Pacific Standard Time
FUM,West Pacific Standard Time
FUN,UTC+12
FUO,China Standard Time
FUT,UTC+12
FVL,W. Australia Standard Time
FVM,West Asia Standard Time
FVR,W. Australia Standard Time
FWA,US Eastern Standard Time
FWH,Central Standard Time
FWL,Alaskan Standard Time
FXE,Eastern Standard Time
FXO,South Africa Standard Time
FXY,Central Standard Time
FYJ,China Standard Time
FYM,Central Standard Time
FYN,China Standard Time
FYT,W. Central Africa Standard Time
FYU,Alaskan Standard Time
FYV,Central Standard Time
FZL,Azerbaijan Standard Time
GAB,Pacific Standard Time
GAC,Central America Standard Time
GAD,Central Standard Time
GAE,W. Central Africa Standard Time
GAF,W. Central Africa Standard Time
GAG,Central Standard Time
GAH,E. Australia Standard Time
GAI,Eastern Standard Time
GAJ,Tokyo Standard Time
GAL,Alaskan Standard Time
GAM,Alaskan Standard Time
GAN,West Asia Standard Time
GAO,Cuba Standard Time
GAP,West Pacific Standard Time
GAQ,Greenwich Standard Time
GAR,West Pacific Standard Time
GAS,E. Africa Standard Time
GAT,Romance Standard Time
GAU,India Standard Time
GAV,Tokyo Standard Time
GAW,Myanmar Standard Time
GAX,W. Central Africa Standard Time
GAY,India Standard Time
GAZ,West Pacific Standard Time
GBA,GMT Standard Time
GBB,Azerbaijan Standard Time
GBC,West Pacific Standard Time
GBD,Central Standard Time
GBE,South Africa Standard Time
GBF,West Pacific Standard Time
GBG,Central Standard Time
GBH,Alaskan Standard Time
GBI,Eastern Standard Time
GBJ,SA Western Standard Time
GBK,Greenwich Standard Time
GBL,AUS Central Standard Time
GBM,E. Africa Standard Time
GBP,E. Australia Standard Time
GBR,Eastern Standard Time
GBT,Iran Standard Time
GBU,Sudan Standard Time
GBV,W. Australia Standard Time
GBW,W. Australia Standard Time
GBZ,New Zealand Standard Time
GCA,SA Pacific Standard Time
GCC,Mountain Standard Time
GCD,Pacific Standard Time
GCH,Iran Standard Time
GCI,GMT Standard Time
GCJ,South Africa Standard Time
GCK,Central Standard Time
GCM,SA Pacific Standard Time
GCN,US Mountain Standard Time
GCT,US Mountain Standard Time
GCV,E. South America Standard Time
GCW,US Mountain Standard Time
GCY,Eastern Standard Time
GDB,India Standard Time
GDC,Eastern Standard Time
GDD,W. Australia Standard Time
GDE,E. Africa Standard Time
GDG,Yakutsk Standard Time
GDH,Alaskan Standard Time
GDI,W. Central Africa Standard Time
GDJ,South Africa Standard Time
GDL,Central Standard Time (Mexico)
GDM,Eastern Standard Time
GDN,Central European Standard Time
GDO,Venezuela Standard Time
GDP,SA Eastern Standard Time
GDQ,E. Africa Standard Time
GDT,Turks And Caicos Standard Time
GDV,Mountain Standard Time
GDW,Eastern Standard Time
GDX,Magadan Standard Time
GDZ,Russian Standard Time
GEA,Central Pacific Standard Time
GEB,Tokyo Standard Time
GEC,GTB Standard Time
GED,Eastern Standard Time
GEE,Tasmania Standard Time
GEF,Central Pacific Standard Time
GEG,Pacific Standard Time
GEL,E. South America Standard Time
GEM,W. Central Africa Standard Time
GEO,SA Western Standard Time
GER,Cuba Standard Time
GES,Singapore Standard Time
GET,W. Australia Standard Time
GEV,W. Europe Standard Time
GEW,West Pacific Standard Time
GEY,Mountain Standard Time
GFA,Mountain Standard Time
GFD,US Eastern Standard Time
GFE,AUS Eastern Standard Time
GFF,AUS Eastern Standard Time
GFK,Central Standard Time
GFL,Eastern Standard Time
GFN,AUS Eastern Standard Time
GFO,SA Western Standard Time
GFR,Romance Standard Time
GFY,Namibia Standard Time
GGB,Central Brazilian Standard Time
GGC,W. Central Africa Standard Time
GGD,E. Australia Standard Time
GGE,Eastern Standard Time
GGF,SA Eastern Standard Time
GGG,Central Standard Time
GGL,SA Pacific Standard Time
GGM,E. Africa Standard Time
GGN,Greenwich Standard Time
GGO,Greenwich Standard Time
GGR,E. Africa Standard Time
GGS,Argentina Standard Time
GGT,Eastern Standard Time
GGW,Mountain Standard Time
GHA,W. Central Africa Standard Time
GHB,Eastern Standard Time
GHC,Eastern Standard Time
GHE,SA Pacific Standard Time
GHF,W. Europe Standard Time
GHK,Mountain Standard Time
GHM,Central Standard Time
GHN,China Standard Time
GHS,Singapore Standard Time
GHT,Libya Standard Time
GHU,Argentina Standard Time
GIB,W. Europe Standard Time
GIC,E. Australia Standard Time
GID,South Africa Standard Time
GIF,Eastern Standard Time
GIG,E. South America Standard Time
GII,Greenwich Standard Time
GIL,Pakistan Standard Time
GIR,SA Pacific Standard Time
GIS,New Zealand Standard Time
GIT,E. Africa Standard Time
GIU,Sri Lanka Standard Time
GIY,South Africa Standard Time
GIZ,Arab Standard Time
GJA,Central America Standard Time
GJL,W. Central Africa Standard Time
GJM,SA Western Standard Time
GJR,Greenwich Standard Time
GJT,Mountain Standard Time
GKA,West Pacific Standard Time
GKD,Turkey Standard Time
GKE,W. Europe Standard Time
GKH,Nepal Standard Time
GKK,West Asia Standard Time
GKL,E. Australia Standard Time
GKN,Alaskan Standard Time
GKT,Eastern Standard Time
GLA,GMT Standard Time
GLB,US Mountain Standard Time
GLC,E. Africa Standard Time
GLD,Mountain Standard Time
GLE,Central Standard Time
GLF,Central America Standard Time
GLG,E. Australia Standard Time
GLH,Central Standard Time
GLI,AUS Eastern Standard Time
GLK,E. Africa Standard Time
GLL,W. Europe Standard Time
GLM,E. Australia Standard Time
GLN,Morocco Standard Time
GLO,GMT Standard Time
GLP,West Pacific Standard Time
GLR,Eastern Standard Time
GLS,Central Standard Time
GLT,E. Australia Standard Time
GLU,India Standard Time
GLV,Alaskan Standard Time
GLW,Central Standard Time
GLX,Tokyo Standard Time
GLZ,W. Europe Standard Time
GMA,W. Central Africa Standard Time
GMB,E. Africa Standard Time
GMD,Morocco Standard Time
GME,Belarus Standard Time
GMI,West Pacific Standard Time
GML,FLE Standard Time
GMM,W. Central Africa Standard Time
GMN,New Zealand Standard Time
GMO,W. Central Africa Standard Time
GMP,Korea Standard Time
GMQ,China Standard Time
GMR,UTC-09
GMS,SA Eastern Standard Time
GMT,Alaskan Standard Time
GMU,Eastern Standard Time
GMV,Mountain Standard Time
GMZ,GMT Standard Time
GNA,Belarus Standard Time
GNB,Romance Standard Time
GND,SA Western Standard Time
GNF,Pacific Standard Time
GNG,Mountain Standard Time
GNI,Taipei Standard Time
GNM,Bahia Standard Time
GNN,E. Africa Standard Time
GNR,Argentina Standard Time
GNS,SE Asia Standard Time
GNT,Mountain Standard Time
GNU,Alaskan Standard Time
GNV,Eastern Standard Time
GNY,Turkey Standard Time
GNZ,South Africa Standard Time
GOA,W. Europe Standard Time
GOB,E. Africa Standard Time
GOC,West Pacific Standard Time
GOE,West Pacific Standard Time
GOG,Namibia Standard Time
GOH,Greenland Standard Time
GOI,India Standard Time
GOJ,Russian Standard Time
GOK,Central Standard Time
GOL,Pacific Standard Time
GOM,South Africa Standard Time
GON,Eastern Standard Time
GOO,E. Australia Standard Time
GOP,India Standard Time
GOQ,China Standard Time
GOR,E. Africa Standard Time
GOS,AUS Eastern Standard Time
GOT,W. Europe Standard Time
GOU,W. Central Africa Standard Time
GOV,AUS Central Standard Time
GOZ,FLE Standard Time
GPA,GTB Standard Time
GPB,E. South America Standard Time
GPD,E. Australia Standard Time
GPI,SA Pacific Standard Time
GPL,Central America Standard Time
GPN,AUS Central Standard Time
GPO,Argentina Standard Time
GPS,Central America Standard Time
GPT,Central Standard Time
GPZ,Central Standard Time
GQQ,Eastern Standard Time
GRB,Central Standard Time
GRC,Greenwich Standard Time
GRD,Eastern Standard Time
GRE,Central Standard Time
GRF,Pacific Standard Time
GRG,Afghanistan Standard Time
GRI,Central Standard Time
GRJ,South Africa Standard Time
GRK,Central Standard Time
GRL,West Pacific Standard Time
GRM,Central Standard Time
GRN,Mountain Standard Time
GRO,Romance Standard Time
GRP,Tocantins Standard Time
GRQ,W. Europe Standard Time
GRR,Eastern Standard Time
GRS,W. Europe Standard Time
GRT,Pakistan Standard Time
GRU,E. South America Standard Time
GRV,Russian Standard Time
GRW,Azores Standard Time
GRX,Romance Standard Time
GRY,Greenwich Standard Time
GRZ,W. Europe Standard Time
GSA,Singapore Standard Time
GSB,Eastern Standard Time
GSC,W. Australia Standard Time
GSE,W. Europe Standard Time
GSH,US Eastern Standard Time
GSI,SA Eastern Standard Time
GSJ,Central America Standard Time
GSL,Mountain Standard Time
GSM,Iran Standard Time
GSN,Cen. Australia Standard Time
GSO,Eastern Standard Time
GSP,Eastern Standard Time
GSQ,Egypt Standard Time
GSR,E. Africa Standard Time
GSS,South Africa Standard Time
GST,Alaskan Standard Time
GSV,Saratov Standard Time
GTA,Central Pacific Standard Time
GTE,AUS Central Standard Time
GTF,Mountain Standard Time
GTG,Central Standard Time
GTI,W. Europe Standard Time
GTK,Singapore Standard Time
GTN,New Zealand Standard Time
GTO,Singapore Standard Time
GTP,Pacific Standard Time
GTR,Central Standard Time
GTS,AUS Central Standard Time
GTT,E. Australia Standard Time
GTY,Eastern Standard Time
GTZ,E. Africa Standard Time
GUA,Central America Standard Time
GUB,Mountain Standard Time (Mexico)
GUC,Mountain Standard Time
GUD,Greenwich Standard Time
GUE,West Pacific Standard Time
GUF,Central Standard Time
GUG,West Pacific Standard Time
GUH,AUS Eastern Standard Time
GUI,Venezuela Standard Time
GUJ,E. South America Standard Time
GUL,AUS Eastern Standard Time
GUM,West Pacific Standard Time
GUO,Central America Standard Time
GUP,Mountain Standard Time
GUQ,Venezuela Standard Time
GUR,West Pacific Standard Time
GUS,US Eastern Standard Time
GUU,Greenwich Standard Time
GUV,West Pacific Standard Time
GUW,West Asia Standard Time
GUX,India Standard Time
GUY,Central Standard Time
GUZ,E. South America Standard Time
GVA,Romance Standard Time
GVE,Eastern Standard Time
GVI,West Pacific Standard Time
GVL,Eastern Standard Time
GVN,Vladivostok Standard Time
GVP,E. Australia Standard Time
GVR,E. South America Standard Time
GVT,Central Standard Time
GVX,W. Europe Standard Time
GWA,Myanmar Standard Time
GWD,Pakistan Standard Time
GWE,South Africa Standard Time
GWL,India Standard Time
GWO,Central Standard Time
GWS,Mountain Standard Time
GWT,W. Europe Standard Time
GWV,Eastern Standard Time
GWY,GMT Standard Time
GXF,Arab Standard Time
GXG,W. Central Africa Standard Time
GXH,China Standard Time
GXQ,Pacific SA Standard Time
GXX,W. Central Africa Standard Time
GXY,Mountain Standard Time
GYA,SA Western Standard Time
GYD,Azerbaijan Standard Time
GYE,SA Pacific Standard Time
GYG,Yakutsk Standard Time
GYI,South Africa Standard Time
GYL,W. Australia Standard Time
GYM,US Mountain Standard Time
GYN,E. South America Standard Time
GYO,SE Asia Standard Time
GYP,E. Australia Standard Time
GYR,US Mountain Standard Time
GYS,China Standard Time
GYU,China Standard Time
GYY,Central Standard Time
GYZ,W. Australia Standard Time
GZG,China Standard Time
GZI,Afghanistan Standard Time
GZM,W. Europe Standard Time
GZO,Central Pacific Standard Time
GZP,Turkey Standard Time
GZT,Turkey Standard Time
GZW,Iran Standard Time
HAA,W. Europe Standard Time
HAB,Central Standard Time
HAC,Tokyo Standard Time
HAD,W. Europe Standard Time
HAE,US Mountain Standard Time
HAF,Pacific Standard Time
HAH,E. Africa Standard Time
HAI,Eastern Standard Time
HAJ,W. Europe Standard Time
HAK,China Standard Time
HAL,Namibia Standard Time
HAM,W. Europe Standard Time
HAN,SE Asia Standard Time
HAO,Eastern Standard Time
HAQ,West Asia Standard Time
HAR,Eastern Standard Time
HAS,Arab Standard Time
HAT,E. Australia Standard Time
HAU,W. Europe Standard Time
HAV,Cuba Standard Time
HAW,GMT Standard Time
HAY,Alaskan Standard Time
HAZ,West Pacific Standard Time
HBA,Tasmania Standard Time
HBB,Mountain Standard Time
HBD,West Pacific Standard Time
HBE,Egypt Standard Time
HBG,Central Standard Time
HBH,Alaskan Standard Time
HBK,US Mountain Standard Time
HBQ,China Standard Time
HBR,Central Standard Time
HBT,Sri Lanka Standard Time
HBU,W. Mongolia Standard Time
HBX,India Standard Time
HCA,Central Standard Time
HCC,Eastern Standard Time
HCJ,China Standard Time
HCM,E. Africa Standard Time
HCN,Taipei Standard Time
HCQ,W. Australia Standard Time
HCR,Alaskan Standard Time
HCW,Eastern Standard Time
HCZ,China Standard Time
HDD,Pakistan Standard Time
HDE,Central Standard Time
HDF,W. Europe Standard Time
HDG,China Standard Time
HDH,Hawaiian Standard Time
HDK,West Asia Standard Time
HDM,Iran Standard Time
HDN,Mountain Standard Time
HDR,Iran Standard Time
HDS,South Africa Standard Time
HDY,SE Asia Standard Time
HEA,Afghanistan Standard Time
HEB,Myanmar Standard Time
HED,Alaskan Standard Time
HEE,Central Standard Time
HEG,Sudan Standard Time
HEH,Myanmar Standard Time
HEI,W. Europe Standard Time
HEK,China Standard Time
HEL,FLE Standard Time
HEO,West Pacific Standard Time
HER,GTB Standard Time
HES,Pacific Standard Time
HET,China Standard Time
HEY,Central Standard Time
HEZ,Central Standard Time
HFA,Israel Standard Time
HFD,Eastern Standard Time
HFE,China Standard Time
HFF,Eastern Standard Time
HFN,Greenwich Standard Time
HFS,W. Europe Standard Time
HFT,W. Europe Standard Time
HGA,E. Africa Standard Time
HGD,E. Australia Standard Time
HGE,Venezuela Standard Time
HGH,China Standard Time
HGL,W. Europe Standard Time
HGN,SE Asia Standard Time
HGO,Greenwich Standard Time
HGR,Eastern Standard Time
HGS,Greenwich Standard Time
HGT,Pacific Standard Time
HGU,West Pacific Standard Time
HGZ,Alaskan Standard Time
HHE,Tokyo Standard Time
HHH,Eastern Standard Time
HHI,Hawaiian Standard Time
HHN,W. Europe Standard Time
HHP,China Standard Time
HHQ,SE Asia Standard Time
HHR,Pacific Standard Time
HHZ,Hawaiian Standard Time
HIA,China Standard Time
HIB,Central Standard Time
HID,E. Australia Standard Time
HIE,Eastern Standard Time
HIF,Mountain Standard Time
HIG,E. Australia Standard Time
HII,US Mountain Standard Time
HIJ,Tokyo Standard Time
HIK,Hawaiian Standard Time
HIL,E. Africa Standard Time
HIM,Sri Lanka Standard Time
HIN,Korea Standard Time
HIO,Pacific Standard Time
HIP,E. Australia Standard Time
HIR,Central Pacific Standard Time
HIS,E. Australia Standard Time
HIT,West Pacific Standard Time
HIW,Tokyo Standard Time
HJJ,China Standard Time
HJR,India Standard Time
HJT,Ulaanbaatar Standard Time
HKA,Central Standard Time
HKB,Alaskan Standard Time
HKD,Tokyo Standard Time
HKG,China Standard Time
HKK,New Zealand Standard Time
HKN,West Pacific Standard Time
HKR,E. Africa Standard Time
HKS,Central Standard Time
HKT,SE Asia Standard Time
HKV,FLE Standard Time
HKY,Eastern Standard Time
HLA,South Africa Standard Time
HLB,US Eastern Standard Time
HLC,Central Standard Time
HLD,China Standard Time
HLE,Greenwich Standard Time
HLF,W. Europe Standard Time
HLG,Eastern Standard Time
HLH,China Standard Time
HLI,Pacific Standard Time
HLJ,China Standard Time
HLL,W. Australia Standard Time
HLM,Eastern Standard Time
HLN,Mountain Standard Time
HLO,Greenwich Standard Time
HLP,SE Asia Standard Time
HLR,Central Standard Time
