airport code,time zone
AKY,Myanmar Standard Time
ALA,Central Asia Standard Time
ALB,Eastern Standard Time
ALC,Romance Standard Time
ALD,SA Pacific Standard Time
ALE,Central Standard Time
ALF,W. Europe Standard Time
ALG,W. Central Africa Standard Time
ALH,W. Australia Standard Time
ALI,Central Standard Time
ALJ,South Africa Standard Time
ALL,W. Europe Standard Time
ALM,Mountain Standard Time
ALN,Central Standard Time
ALO,Central Standard Time
ALP,Syria Standard Time
ALQ,E. South America Standard Time
ALR,New Zealand Standard Time
ALS,Mountain Standard Time
ALT,SA Eastern Standard Time
ALU,E. Africa Standard Time
ALV,W. Europe Standard Time
ALW,Pacific Standard Time
ALX,Central Standard Time
ALZ,Alaskan Standard Time
AMA,Central Standard Time
AMB,E. Africa Standard Time
AMC,W. Central Africa Standard Time
AMD,India Standard Time
AME,South Africa Standard Time
AMF,West Pacific Standard Time
AMH,E. Africa Standard Time
AMI,Singapore Standard Time
AMJ,E. South America Standard Time
AMK,Mountain Standard Time
AMM,Jordan Standard Time
AMN,Eastern Standard Time
AMO,W. Central Africa Standard Time
AMP,E. Africa Standard Time
AMQ,Tokyo Standard Time
AMS,W. Europe Standard Time
AMT,Cen. Australia Standard Time
AMU,West Pacific Standard Time
AMV,Russian Standard Time
AMW,Central Standard Time
AMX,AUS Central Standard Time
AMY,E. Africa Standard Time
AMZ,New Zealand Standard Time
ANA,E. Africa Standard Time
ANB,Central Standard Time
ANC,Alaskan Standard Time
AND,Eastern Standard Time
ANE,Romance Standard Time
ANF,Pacific SA Standard Time
ANG,Romance Standard Time
ANI,Alaskan Standard Time
ANJ,W. Central Africa Standard Time
ANK,Turkey Standard Time
ANL,W. Central Africa Standard Time
ANM,E. Africa Standard Time
ANN,Alaskan Standard Time
ANO,South Africa Standard Time
ANP,Eastern Standard Time
ANQ,US Eastern Standard Time
ANR,Romance Standard Time
ANS,SA Pacific Standard Time
ANU,SA Western Standard Time
ANV,Alaskan Standard Time
ANW,Central Standard Time
ANX,W. Europe Standard Time
ANY,Central Standard Time
ANZ,AUS Central Standard Time
AOB,West Pacific Standard Time
AOC,W. Europe Standard Time
AOD,W. Central Africa Standard Time
AOE,Turkey Standard Time
AOG,China Standard Time
AOH,Eastern Standard Time
AOI,W. Europe Standard Time
AOJ,Tokyo Standard Time
AOK,GTB Standard Time
AOL,Argentina Standard Time
AOM,Arabian Standard Time
AOO,Eastern Standard Time
AOP,SA Pacific Standard Time
AOQ,Greenland Standard Time
AOR,Singapore Standard Time
AOS,Alaskan Standard Time
AOT,W. Europe Standard Time
AOU,SE Asia Standard Time
APA,Mountain Standard Time
APB,SA Western Standard Time
APC,Pacific Standard Time
APF,Eastern Standard Time
APG,Eastern Standard Time
APH,Eastern Standard Time
API,SA Pacific Standard Time
APK,Hawaiian Standard Time
APL,South Africa Standard Time
APN,Eastern Standard Time
APO,SA Pacific Standard Time
APP,West Pacific Standard Time
APQ,SA Eastern Standard Time
APR,West Pacific Standard Time
APS,E. South America Standard Time
APT,Central Standard Time
APU,E. South America Standard Time
APV,Pacific Standard Time
APW,Samoa Standard Time
APX,E. South America Standard Time
APY,SA Eastern Standard Time
APZ,Argentina Standard Time
AQA,E. South America Standard Time
AQB,Central America Standard Time
AQG,China Standard Time
AQI,Arab Standard Time
AQJ,Jordan Standard Time
AQM,SA Western Standard Time
AQP,SA Pacific Standard Time
AQY,Alaskan Standard Time
ARA,Central Standard Time
ARB,Eastern Standard Time
ARC,Alaskan Standard Time
ARD,Singapore Standard Time
ARE,SA Western Standard Time
ARF,SA Pacific Standard Time
ARG,Central Standard Time
ARH,Russian Standard Time
ARI,SA Pacific Standard Time
ARK,E. Africa Standard Time
ARL,Greenwich Standard Time
ARM,AUS Eastern Standard Time
ARN,W. Europe Standard Time
ARO,SA Pacific Standard Time
ARP,West Pacific Standard Time
ARQ,SA Pacific Standard Time
ARR,Argentina Standard Time
ARS,Central Brazilian Standard Time
ART,Eastern Standard Time
ARU,E. South America Standard Time
ARV,Central Standard Time
ARW,GTB Standard Time
ARX,SA Eastern Standard Time
ARY,AUS Eastern Standard Time
ARZ,W. Central Africa Standard Time
ASA,E. Africa Standard Time
ASB,West Asia Standard Time
ASC,SA Western Standard Time
ASD,Eastern Standard Time
ASE,Mountain Standard Time
ASF,Astrakhan Standard Time
ASG,New Zealand Standard Time
ASH,Eastern Standard Time
ASI,Greenwich Standard Time
ASJ,Tokyo Standard Time
ASK,Greenwich Standard Time
ASL,Central Standard Time
ASM,E. Africa Standard Time
ASN,Central Standard Time
ASO,E. Africa Standard Time
ASP,AUS Central Standard Time
ASQ,Pacific Standard Time
ASR,Turkey Standard Time
ASS,South Africa Standard Time
AST,Pacific Standard Time
ASU,Paraguay Standard Time
ASV,E. Africa Standard Time
ASW,Egypt Standard Time
ASX,Central Standard Time
ASY,Central Standard Time
ASZ,West Pacific Standard Time
ATA,SA Pacific Standard Time
ATB,Sudan Standard Time
ATC,Eastern Standard Time
ATD,Central Pacific Standard Time
ATE,Central Standard Time
ATF,SA Pacific Standard Time
ATG,Pakistan Standard Time
ATH,GTB Standard Time
ATI,Montevideo Standard Time
ATJ,E. Africa Standard Time
ATK,Alaskan Standard Time
ATL,Eastern Standard Time
ATM,SA Eastern Standard Time
ATN,West Pacific Standard Time
ATO,Eastern Standard Time
ATP,West Pacific Standard Time
ATQ,India Standard Time
ATR,Greenwich Standard Time
ATS,Mountain Standard Time
ATT,Alaskan Standard Time
ATV,W. Central Africa Standard Time
ATW,Central Standard Time
ATX,Central Asia Standard Time
ATY,Central Standard Time
ATZ,Egypt Standard Time
AUA,SA Western Standard Time
AUC,SA Pacific Standard Time
AUD,E. Australia Standard Time
AUE,Egypt Standard Time
AUF,Romance Standard Time
AUG,Eastern Standard Time
AUH,Arabian Standard Time
AUI,West Pacific Standard Time
AUJ,West Pacific Standard Time
AUK,Alaskan Standard Time
AUL,UTC+12
AUM,Central Standard Time
AUN,Pacific Standard Time
AUO,Central Standard Time
AUP,West Pacific Standard Time
AUQ,Marquesas Standard Time
AUR,Romance Standard Time
AUS,Central Standard Time
AUT,Tokyo Standard Time
AUU,E. Australia Standard Time
AUV,West Pacific Standard Time
AUW,Central Standard Time
AUX,Tocantins Standard Time
AUY,Central Pacific Standard Time
AUZ,Central Standard Time
AVA,China Standard Time
AVB,W. Europe Standard Time
AVG,AUS Central Standard Time
AVI,Cuba Standard Time
AVK,Ulaanbaatar Standard Time
AVL,Eastern Standard Time
AVN,Romance Standard Time
AVO,Eastern Standard Time
AVP,Eastern Standard Time
AVR,GMT Standard Time
AVU,Central Pacific Standard Time
AVV,AUS Eastern Standard Time
AVW,US Mountain Standard Time
AVX,Pacific Standard Time
AWA,E. Africa Standard Time
AWB,West Pacific Standard Time
AWD,Central Pacific Standard Time
AWE,W. Central Africa Standard Time
AWK,UTC+12
AWM,Central Standard Time
AWN,Cen. Australia Standard Time
AWP,AUS Central Standard Time
AWZ,Iran Standard Time
AXA,SA Western Standard Time
AXB,Eastern Standard Time
AXC,E. Australia Standard Time
AXD,GTB Standard Time
AXE,E. South America Standard Time
AXF,China Standard Time
AXG,Central Standard Time
AXJ,Tokyo Standard Time
AXK,Arab Standard Time
AXL,AUS Central Standard Time
AXM,SA Pacific Standard Time
AXN,Central Standard Time
AXO,Singapore Standard Time
AXP,Eastern Standard Time
AXR,Hawaiian Standard Time
AXS,Central Standard Time
AXT,Tokyo Standard Time
AXU,E. Africa Standard Time
AXV,Eastern Standard Time
AXX,Mountain Standard Time
AYA,SA Pacific Standard Time
AYC,SA Pacific Standard Time
AYD,AUS Central Standard Time
AYG,SA Pacific Standard Time
AYI,SA Pacific Standard Time
AYK,Central Asia Standard Time
AYL,AUS Central Standard Time
AYM,Arabian Standard Time
AYN,China Standard Time
AYO,Paraguay Standard Time
AYP,SA Pacific Standard Time
AYQ,AUS Central Standard Time
AYR,E. Australia Standard Time
AYS,Eastern Standard Time
AYT,Turkey Standard Time
AYU,West Pacific Standard Time
AYW,Tokyo Standard Time
AYX,SA Pacific Standard Time
AYY,Sri Lanka Standard Time
AZA,US Mountain Standard Time
AZB,West Pacific Standard Time
AZD,Iran Standard Time
AZG,Central Standard Time (Mexico)
AZI,Arabian Standard Time
AZJ,China Standard Time
AZL,Central Brazilian Standard Time
AZN,West Asia Standard Time
AZO,Eastern Standard Time
AZP,Central Standard Time (Mexico)
AZR,W. Central Africa Standard Time
AZS,SA Western Standard Time
AZT,SA Pacific Standard Time
AZZ,W. Central Africa Standard Time
BAA,West Pacific Standard Time
BAB,Pacific Standard Time
BAC,SA Pacific Standard Time
BAD,Central Standard Time
BAE,Romance Standard Time
BAF,Eastern Standard Time
BAG,Singapore Standard Time
BAH,Arab Standard Time
BAI,Central America Standard Time
BAJ,West Pacific Standard Time
BAL,Turkey Standard Time
BAM,Pacific Standard Time
BAN,South Africa Standard Time
BAO,SE Asia Standard Time
BAQ,SA Pacific Standard Time
BAR,China Standard Time
BAS,Central Pacific Standard Time
BAT,E. South America Standard Time
BAU,E. South America Standard Time
BAV,China Standard Time
BAX,Altai Standard Time
BAY,GTB Standard Time
BAZ,SA Western Standard Time
BBA,Pacific SA Standard Time
BBB,Central Standard Time
BBC,Central Standard Time
BBD,Central Standard Time
BBG,UTC+12
BBH,W. Europe Standard Time
BBI,India Standard Time
BBJ,W. Europe Standard Time
BBK,South Africa Standard Time
BBL,E. Australia Standard Time
BBM,SE Asia Standard Time
BBN,Singapore Standard Time
BBO,E. Africa Standard Time
BBP,GMT Standard Time
BBQ,SA Western Standard Time
BBR,SA Western Standard Time
BBS,GMT Standard Time
BBT,W. Central Africa Standard Time
BBU,GTB Standard Time
BBV,Greenwich Standard Time
BBW,Central Standard Time
BBX,Eastern Standard Time
BBY,W. Central Africa Standard Time
BBZ,South Africa Standard Time
BCA,Cuba Standard Time
BCB,Eastern Standard Time
BCC,Alaskan Standard Time
BCD,Singapore Standard Time
BCE,Mountain Standard Time
BCF,W. Central Africa Standard Time
BCG,SA Western Standard Time
BCH,Tokyo Standard Time
BCI,E. Australia Standard Time
BCK,E. Australia Standard Time
BCL,Central America Standard Time
BCM,GTB Standard Time
BCN,Romance Standard Time
BCO,E. Africa Standard Time
BCP,West Pacific Standard Time
BCQ,Libya Standard Time
BCR,SA Western Standard Time
BCS,Central Standard Time
BCT,Eastern Standard Time
BCU,W. Central Africa Standard Time
BCV,Central America Standard Time
BCW,South Africa Standard Time
BCX,Ekaterinburg Standard Time
BCZ,AUS Central Standard Time
BDA,Atlantic Standard Time
BDB,E. Australia Standard Time
BDC,SA Eastern Standard Time
BDD,E. Australia Standard Time
BDE,Central Standard Time
BDF,Central Standard Time
BDG,Mountain Standard Time
BDH,Iran Standard Time
BDI,Mauritius Standard Time
BDJ,Singapore Standard Time
BDK,Greenwich Standard Time
BDL,Eastern Standard Time
BDM,Turkey Standard Time
BDN,Pakistan Standard Time
BDO,SE Asia Standard Time
BDP,Nepal Standard Time
BDQ,India Standard Time
BDR,Eastern Standard Time
BDS,W. Europe Standard Time
BDT,W. Central Africa Standard Time
BDU,W. Europe Standard Time
BDV,South Africa Standard Time
BDW,W. Australia Standard Time
BDX,Mountain Standard Time
BDY,Pacific Standard Time
BDZ,West Pacific Standard Time
BEB,GMT Standard Time
BEC,Central Standard Time
BED,Eastern Standard Time
BEE,W. Australia Standard Time
BEF,Central America Standard Time
BEG,Central Europe Standard Time
BEH,Eastern Standard Time
BEI,E. Africa Standard Time
BEJ,Singapore Standard Time
BEK,India Standard Time
BEL,SA Eastern Standard Time
BEM,Morocco Standard Time
BEN,Libya Standard Time
BEO,AUS Eastern Standard Time
BEP,India Standard Time
BEQ,GMT Standard Time
BER,W. Europe Standard Time
BES,Romance Standard Time
BET,Alaskan Standard Time
BEU,E. Australia Standard Time
BEV,Israel Standard Time
BEW,South Africa Standard Time
BEX,GMT Standard Time
BEY,Middle East Standard Time
BEZ,UTC+12
BFA,Paraguay Standard Time
BFC,E. Australia Standard Time
BFD,Eastern Standard Time
BFE,W. Europe Standard Time
BFF,Mountain Standard Time
BFG,Mountain Standard Time
BFH,E. South America Standard Time
BFI,Pacific Standard Time
BFJ,China Standard Time
BFK,Mountain Standard Time
